"","X...iid","id","gender","idg","condtn","wave","round","position","positin1","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field","field_cd","undergra","mn_sat","tuition","race","imprace","imprelig","from","zipcode","income","goal","date","go_out","career","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr4_1","sinc4_1","intel4_1","fun4_1","amb4_1","shar4_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr5_1","sinc5_1","intel5_1","fun5_1","amb5_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","match_es","attr1_s","sinc1_s","intel1_s","fun1_s","amb1_s","shar1_s","attr3_s","sinc3_s","intel3_s","fun3_s","amb3_s","satis_2","length","numdat_2","attr7_2","sinc7_2","intel7_2","fun7_2","amb7_2","shar7_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr4_2","sinc4_2","intel4_2","fun4_2","amb4_2","shar4_2","attr2_2","sinc2_2","intel2_2","fun2_2","amb2_2","shar2_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","attr5_2","sinc5_2","intel5_2","fun5_2","amb5_2","you_call","them_cal","date_3","numdat_3","num_in_3","attr1_3","sinc1_3","intel1_3","fun1_3","amb1_3","shar1_3","attr7_3","sinc7_3","intel7_3","fun7_3","amb7_3","shar7_3","attr4_3","sinc4_3","intel4_3","fun4_3","amb4_3","shar4_3","attr2_3","sinc2_3","intel2_3","fun2_3","amb2_3","shar2_3","attr3_3","sinc3_3","intel3_3","fun3_3","amb3_3","attr5_3","sinc5_3","intel5_3","fun5_3","amb5_3"
"11",11,1,1,2,1,1,10,7,NA,4,1,1,0,0.14,0,21,4,15,20,20,15,15,15,1,6,9,7,7,6,5,7,6,2,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,6,8,8,8,8,6,7,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"12",11,1,1,2,1,1,10,3,NA,10,2,2,0,0.29,1,24,2,45,5,25,20,0,5,0,5,7,8,4,6,3,6,4,2,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,8,7,6,9,7,4,7,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"13",11,1,1,2,1,1,10,9,NA,6,3,3,0,-0.24,1,25,2,35,10,35,10,10,0,0,7,9,10,7,8,9,8,7,1,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,7,8,6,5,8,4,5,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"14",11,1,1,2,1,1,10,6,NA,3,4,4,0,-0.18,1,23,2,20,20,20,20,10,10,0,4,10,8,5,8,7,6,7,2,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,6,7,8,7,7,5,6,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"15",11,1,1,2,1,1,10,4,NA,1,5,5,0,-0.43,1,21,2,20,5,25,25,10,15,0,5,8,8,2,2,2,7,5,2,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,6,8,8,8,7,6,6,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"16",11,1,1,2,1,1,10,8,NA,5,6,6,0,0.33,0,23,4,10,25,20,25,5,15,1,6,9,7,6,7,6,6,6,2,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,7,9,8,9,8,4,7,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"17",11,1,1,2,1,1,10,5,NA,2,7,7,0,0.19,0,22,4,15,15,25,20,15,10,0,4,8,8,5,7,4,7,4,2,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,7,8,8,8,7,7,7,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"18",11,1,1,2,1,1,10,10,NA,7,8,8,0,-0.03,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,7,4,7,5,4,5,2,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,8,7,6,6,6,5,7,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"19",11,1,1,2,1,1,10,1,NA,8,9,9,0,0.19,0,26,6,20,10,20,30,10,10,1,8,10,9,8,7,6,5,5,2,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,6,8,7,8,7,5,6,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"20",11,1,1,2,1,1,10,2,NA,9,10,10,0,0.3,1,26,2,15,15,15,40,10,5,0,6,10,10,6,6,NA,6,3,2,27,63,8,1,1,1,2,7,3,7,2,1,1,5,4,3,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,35,20,20,20,0,5,NA,NA,NA,NA,NA,NA,25,5,20,20,25,5,8,9,7,8,5,NA,NA,NA,NA,NA,0,7,8,7,8,6,5,6,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,19.51,17.07,17.07,17.07,12.2,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,6,5,NA,NA,NA,NA,NA,0,0,0,NA,NA,35,25,15,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,7,7,5,NA,NA,NA,NA,NA
"21",12,2,1,4,1,1,10,7,NA,3,1,1,0,0.54,0,21,4,15,20,20,15,15,15,1,7,8,7,8,5,6,7,5,1,22,89,1,1,1,1,2,1,1,50,68,43,1,1,1,39,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,NA,NA,NA,NA,NA,0,7,8,10,7,7,5,8,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",12,2,1,4,1,1,10,3,NA,9,2,2,0,0.18,1,24,2,45,5,25,20,0,5,0,8,5,6,6,9,6,7,3,2,22,89,1,1,1,1,2,1,1,50,68,43,1,1,1,39,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,NA,NA,NA,NA,NA,0,7,6,10,6,6,5,8,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",12,2,1,4,1,1,10,9,NA,5,3,3,0,-0.14,1,25,2,35,10,35,10,10,0,0,9,7,9,8,9,7,8,7,2,22,89,1,1,1,1,2,1,1,50,68,43,1,1,1,39,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,NA,NA,NA,NA,NA,0,6,7,10,6,6,5,7,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",12,2,1,4,1,1,10,6,NA,2,4,4,0,-0.18,1,23,2,20,20,20,20,10,10,0,8,7,8,10,7,8,8,1,1,22,89,1,1,1,1,2,1,1,50,68,43,1,1,1,39,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,60,0,0,40,0,0,NA,NA,NA,NA,NA,NA,25,15,25,20,15,0,9,9,9,10,9,NA,NA,NA,NA,NA,0,6,5,10,6,6,5,6,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
